,probe_id,request_ntp,request_capture,resp_delta_capture,response_orig_ts,response_capture,resp_proc_time,response_reference_timestamp,response_transmit_timestamp,response_transmit_minus_reference,response_reference_valid,request_ntp_equals_response_orig_ts
0,6905,2025-07-11 07:36:54.737752,2025-07-11 07:36:54.831705,0.09395289421081543,2025-07-11 07:36:54.737752,2025-07-11 07:36:54.831933,-2.4e-05,2025-07-11 07:35:54.831909,2025-07-11 07:36:54.831909,60.0,True,True
1,6905,2025-07-11 07:36:54.944847,2025-07-11 07:36:55.038805,0.09395742416381836,2025-07-11 07:36:54.944847,2025-07-11 07:36:55.038979,-1.9e-05,2025-07-11 07:35:55.038960,2025-07-11 07:36:55.038960,60.0,True,True
2,6905,2025-07-11 07:36:55.167315,2025-07-11 07:36:55.261271,0.09395599365234375,2025-07-11 07:36:55.167315,2025-07-11 07:36:55.261452,-2.8e-05,2025-07-11 07:35:55.261424,2025-07-11 07:36:55.261424,60.0,True,True
3,1003331,2025-07-11 07:36:55.030792,2025-07-11 07:36:55.034399,0.0036063194274902344,2025-07-11 07:36:55.030792,2025-07-11 07:36:55.034638,-3.9e-05,2025-07-11 07:35:55.034599,2025-07-11 07:36:55.034599,60.0,True,True
4,1003331,2025-07-11 07:36:55.039183,2025-07-11 07:36:55.042718,0.003534555435180664,2025-07-11 07:36:55.039183,2025-07-11 07:36:55.042858,-1.7e-05,2025-07-11 07:35:55.042841,2025-07-11 07:36:55.042841,60.0,True,True
5,1003331,2025-07-11 07:36:55.047351,2025-07-11 07:36:55.050818,0.003467559814453125,2025-07-11 07:36:55.047351,2025-07-11 07:36:55.050976,-2.4e-05,2025-07-11 07:35:55.050952,2025-07-11 07:36:55.050952,60.0,True,True
6,1003762,2025-07-11 07:36:55.348801,2025-07-11 07:36:55.352492,0.0036907196044921875,2025-07-11 07:36:55.348801,2025-07-11 07:36:55.352697,-2.5e-05,2025-07-11 07:35:55.352672,2025-07-11 07:36:55.352672,60.0,True,True
7,1003762,2025-07-11 07:36:55.356392,2025-07-11 07:36:55.359995,0.003602743148803711,2025-07-11 07:36:55.356392,2025-07-11 07:36:55.360213,-3e-05,2025-07-11 07:35:55.360183,2025-07-11 07:36:55.360183,60.0,True,True
8,1003762,2025-07-11 07:36:55.369717,2025-07-11 07:36:55.373271,0.0035533905029296875,2025-07-11 07:36:55.369717,2025-07-11 07:36:55.373463,-2.7e-05,2025-07-11 07:35:55.373436,2025-07-11 07:36:55.373436,60.0,True,True
9,1009593,2025-07-11 07:36:55.442679,2025-07-11 07:36:55.444960,0.0022809505462646484,2025-07-11 07:36:55.442679,2025-07-11 07:36:55.445148,-2.3e-05,2025-07-11 07:35:55.445125,2025-07-11 07:36:55.445125,60.0,True,True
10,1009593,2025-07-11 07:36:55.446983,2025-07-11 07:36:55.448873,0.001889944076538086,2025-07-11 07:36:55.446983,2025-07-11 07:36:55.449045,-2.7e-05,2025-07-11 07:35:55.449018,2025-07-11 07:36:55.449018,60.0,True,True
11,1009593,2025-07-11 07:36:55.452114,2025-07-11 07:36:55.454514,0.0023996829986572266,2025-07-11 07:36:55.452114,2025-07-11 07:36:55.454673,-1.9e-05,2025-07-11 07:35:55.454654,2025-07-11 07:36:55.454654,60.0,True,True
12,1007620,2025-07-11 07:36:55.486574,2025-07-11 07:36:55.487571,0.000997304916381836,2025-07-11 07:36:55.486574,2025-07-11 07:36:55.487852,-3.8e-05,2025-07-11 07:35:55.487814,2025-07-11 07:36:55.487814,60.0,True,True
13,1007620,2025-07-11 07:36:55.488771,2025-07-11 07:36:55.489710,0.0009391307830810547,2025-07-11 07:36:55.488771,2025-07-11 07:36:55.489906,-2.1e-05,2025-07-11 07:35:55.489885,2025-07-11 07:36:55.489885,60.0,True,True
